language-name-text,Русский
bastolic-item-set-description,[1@bastolic]|[*1@bastolic]| Когда вы наносите |[magic-damage]|; нанесите еще|\n| |({magic_damage})|<7569f5> 5% от вашего макс. здоровья| случайному врагу|\n|\n|[2@bastolic]|[*2@bastolic]| |[magic-damage]|; полученный в первом|\n| ходу; будет преобразован в |[max-health]|\n|<696969> сбрасывается в каждом бою
berserker-item-set-description,[1@berserker]|[*1@berserker]| Бонус к |[total-attacks]| за недостающее |[health]|:|\n| |<.>| 25% -> +1 |[total-attacks]|\n| |<.>| 50% -> +3 |[total-attacks]|\n| |<.>| 75% -> +6 |[total-attacks]|\n|\n|[2@berserker]|[*2@berserker]| Если |[health]| ниже 25%; |[tenacity]| +100%
blackthorn-item-set-description,Если по вам попали атакой:|\n|<.>| Наносит атакующему |[magic-damage]| в размере характеристики |[active-armor]*
cataclysm-item-set-description,Все враги получают |[lethality]| до 45%
celestial-item-set-description,При получении любого урона он превращается в характеристику |[elemental-power]|\n|<696969>(сброс каждый бой)
chromalure-item-set-description,[1@chromalure]|[*1@chromalure]| После применения |[poison]|; нанесите |[poison-damage]|; который|\n| равен этому количеству цели|\n|\n|[3@chromalure]|[*3@chromalure]| В начале каждого хода получайте |[toxic-transmute]|[0@chromalure]
cursed-item-set-description,[1@cursed]|[*1@cursed]| В начале боя; получите |[curse]|\n| и 5 зарядов |[malice-shield]|\n|\n|[3@cursed]|[*3@cursed]| Наносимый вами |[malice-damage]| будет распределен|\n| на всех врагов с |[curse]
darkness-item-set-description,[1@darkness]|[*1@darkness]| Наложите |[fear]| на всех врагов с меньшим уроном от атаки|\n|; чем у вас; в начале хода|[3@darkness]|\n|[*3@darkness]| После убийства врага; получите 2 стака |[dread]|[4@darkness]|\n|[*4@darkness]| В начале первого хода получите |[madness]|[0@darkness]
demonic-item-set-description,[1@demonic]|[*1@demonic]| За каждые 25 базового |[max-health]|\n| получите 1% |[physical-attack]|\n|\n|[3@demonic]|[*3@demonic]| Получите |[multi-attack-charge]|\n| в начале первого хода
flesh-item-set-description,Позволяет |[heal]| сверх вашей |[max-health]|\n|<696969>излишек снимается\n|<696969>в конце хода
generic-item-set-description,Считается как +1 ко всем активным наборам предметов
golden-item-set-description,В начале каждого боя дает эффект |[golden-heart]
hunter-item-set-description,[1@hunter]|[*1@hunter]| Каждый 1% |[crit-chance]| сверх 100% превращается в|\n| 10% |[critical-damage]|\n|[3@hunter]|[*3@hunter]| Невозможно |[dodge]| ваши атаки: |[critical-strike]|
jade-item-set-description,[sparkle]| (все заряды) будет заново наложена на цель после взрыва
legacy-item-set-description,<.>| В начале боя получите |[invulnerability]|\n|\n|<.>| В конце вашего первого хода наложите заряд|\n| |[arthurs-mark]| на случайного врага|\n|\n|<.>| Когда враг с |[arthurs-mark]| умирает;|\n| он будет применен к другому врагу
magma-item-set-description,[cinder-essence]| +1 заряд перед| |\n||началом хода
mercenary-item-set-description,Если у цели более 90% |[health]|:|\n|[1@mercenary]|[1@mercenary]| Нанесите 25%|<00cd58> +|[luck]| увеличенного урона от атаки|\n|[3@mercenary]|[*3@mercenary]| Получите +1 |[total-attacks]| в этот ход
orion-item-set-description,[1@orion]|[*1@orion]| Получайте повышенное сопротивление урону по мере падения |[health]|\n|; до 75% сопротивления при 25% |[health]|\n|\n|[3@orion]|[*3@orion]| В конце первых 3 ходов; отремонтируйте 25%|\n| вашей |[armor]|\n|\n|[4@orion]|[*4@orion]| Невозможно |[heal]
phantom-item-set-description,Нельзя использовать
poverty-item-set-description,<.>| Если |[health]| ниже 25%; |[crit-chance]| +75%|\n|<.>| Накладывается |[anti-steal]
royal-item-set-description,Накладывает |[inherited-sin]| на первом ходу|\n|\n|Если |[cleanse]| снимает |[inherited-sin]|; дает|\n|[debuff-immunity]| (5 зарядов)
scout-item-set-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| гарантировано; если у вас есть любое количество |[agility]|[3@scout]|\n|<.>| |[*3@scout]| После 3 |[dodge]|; станьте |[elusive]|[0@scout]
shadow-item-set-description,[1@shadow]|[*1@shadow]| Каждый раз когда вы избегаете атаки; |[backstab]|\n|[3@shadow]|[*3@shadow]| Избежанный урон в состоянии |[elusive]| засчитывается|\n| как |[adaptive-attack]|<696969> - сбрасывается в каждом бою
silver-item-set-description,[1@silver]|[*1@silver]| |[cleanse]| гарантировано; если у вас есть любое|\n| количество |[faith]|\n|\n|[3@silver]|[3@silver]| При |[cleanse]| получите |[faith]| |[grace]
swiftness-item-set-description,Удваивает ваши |[total-attacks]|; но после каждой атаки|\n|теряете 5% |[accuracy]|<696969> сбрасывается каждый ход
thunder-item-set-description,[1@thunder]|[*1@thunder]|[electric-damage]| имеет 25% + |[luck]*| шанс на |[stun]|\n| во время вашего хода|\n|[3@thunder]|[*3@thunder]| Удваивает длительность |[stun]|; наложенного в ваш ход
unchained-item-set-description,[1@unchained]|[*1@unchained]| Дебаффы применяются ко всем врагам|\n|[2@unchained]|[*2@unchained]| Вдвое больше дебаффов которые вы накладываете
vampiric-item-set-description,[1@vampiric]|[*1@vampiric]| При первой атаке на новую цель; накладывает 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Каждый раз; когда враг получает |[bleed-damage]|; |[heal]|\n| на это значение|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| будет преобразован в |[power]|\n|<696969> сбрасывается каждый бой
warrior-item-set-description,[1@warrior]|[*1@warrior]| Каждый раз; когда вы атакуете; получайте |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Когда вас атакуют; получайте |[combat-insight]|[0@warrior]
wood-item-set-description,[1@wood]|[*1@wood]| +25% |[luck]|\n|[3@wood]|[*3@wood]| +10% |[luck]
zephyron-item-set-description,[1@zephyron]|<.>| |[*1@zephyron]| Получайте {amount}% |[magic-damage]| каждый ход|<696969> сбрасывается в каждом бою|\n|[2@zephyron]|<.>| |[*2@zephyron]| Нанесенный |[magic-damage]| будет применен к врагам с |[silence]|\n|[4@zephyron]|<.>| |[*4@zephyron]| Первая активированная способность не потребляет |[mana]
beastbound-specialization-description,[1@hunter]|[*1@hunter]| Каждый 1% |[crit-chance]| сверх 100% превращается в|\n| 10% |[critical-damage]|\n|[3@hunter]|[*3@hunter]| Невозможно |[dodge]| ваши атаки: |[critical-strike]|\n|\n|<.>| |[crit-chance]| влияет на атаки |[parry]|
bloodcaster-specialization-description,[1@vampiric]|[*1@vampiric]| При первой атаке на новую цель; накладывает 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Каждый раз; когда враг получает |[bleed-damage]|; |[heal]|\n| на это значение|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| будет преобразован в |[power]|\n|<696969> сбрасывается каждый бой|\n|\n|Каждый раз; когда вы |[heal]|:|\n|<.>| Наносит |[magic-damage]|; равный количеству;|\n|  которое вы |[heal]|; выбранному врагу
vampiercer-specialization-description,[1@vampiric]|[*1@vampiric]| При первой атаке на новую цель; накладывает 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Каждый раз; когда враг получает |[bleed-damage]|; |[heal]|\n| на это значение|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| будет преобразован в |[power]|\n|<696969> сбрасывается каждый бой|\n|\n|Каждый раз; когда вы |[heal]|:|\n|<.>| Наносит прямой |[physical-damage]|; равный количеству;|\n|  которое вы |[heal]|; выбранному врагу; игнорируя |[armor]
venomire-specialization-description,[1@vampiric]|[*1@vampiric]| При первой атаке на новую цель; накладывает 8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| Каждый раз; когда враг получает |[bleed-damage]|; |[heal]|\n| на это значение|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| будет преобразован в |[power]|\n|<696969> сбрасывается каждый бой|\n|\n|Каждый раз; когда вы |[heal]|:|\n|<.>| Накладывает |[poison]| заряды на выбранного врага;|\n|  равные количеству; которое вы |[heal]
bloodmoon-specialization-description,<.>| Преобразует 200% потерянной |[health]| в |[physical-attack]|\n|<696969> сбрасывается каждый бой|\n|[1@shadow]|[*1@shadow]| Каждый раз когда вы избегаете атаки; |[backstab]|\n|[3@shadow]|[*3@shadow]| Избежанный урон в состоянии |[elusive]| засчитывается|\n| как |[adaptive-attack]|<696969> - сбрасывается в каждом бою
moonlighter-specialization-description,[1@shadow]|[*1@shadow]| Каждый раз когда вы избегаете атаки; |[backstab]|\n|[3@shadow]|[*3@shadow]| Избежанный урон в состоянии |[elusive]| засчитывается|\n| как |[adaptive-attack]|<696969> - сбрасывается в каждом бою
nighthrust-specialization-description,[1@shadow]|[*1@shadow]| Каждый раз когда вы избегаете атаки; |[backstab]|\n|[3@shadow]|[*3@shadow]| Избежанный урон в состоянии |[elusive]| засчитывается|\n| как |[adaptive-attack]|<696969> - сбрасывается в каждом бою|\n|<.>| Получите урон от атаки; избежанной с помощью |[dodge]|\n|<696969> сбрасывается каждый бой
challenger-specialization-description,[1@demonic]|[*1@demonic]| За каждые 25 базового |[max-health]|\n| получите 1% |[physical-attack]|\n|\n|[3@demonic]|[*3@demonic]| Получите |[multi-attack-charge]|\n| в начале первого хода|\n|\n|<.>| 45% урона; нанесенного врагу|\n| с |[arthurs-mark]|;|\n| распространится на соседних врагов
chromaguard-specialization-description,[1@chromalure]|[*1@chromalure]| После применения |[poison]|; нанесите |[poison-damage]|; который|\n| равен этому количеству цели|\n|\n|[3@chromalure]|[*3@chromalure]| В начале каждого хода получайте |[toxic-transmute]|[0@chromalure]
chromaspite-specialization-description,[1@chromalure]|[1@chromalure]| После применения |[poison]|; нанесите |[poison-damage]|; который|\n| равен этому количеству цели|\n|\n|[3@chromalure]|[3@chromalure]| В начале каждого хода получайте |[toxic-transmute]|[0@chromalure]|\n|\n|<.>| Преобразуйте 75% вашего |[physical-attack]| в|\n| |[toxicity]
chromathorn-specialization-description,После попадания по вам:|\n|<.>| Урон как |[magic-damage]| по атакующему: |[active-armor]||\n|<.>| Каждый раз; когда по вам попадают; накладывайте |[poison]| на|\n| атакующего; который равен вашей |[toxicity]
cinderthorn-specialization-description,После попадания по вам:|\n|<.>| Урон как |[magic-damage]| по атакующему: |[active-armor]*||\n|<.>| |[immolate]
mindthorn-specialization-description,После попадания по вам:|\n|<.>| Урон как |[magic-damage]| по атакующему: |[active-armor]*||\n|<.>| +25%: |[wisdom]|<696969> (сбрасывается в каждом бою)
thornfrost-specialization-description,После попадания по вам:|\n|<.>| Урон как |[magic-damage]| по атакующему: |[active-armor]*||\n|<.>| На атакующего применяется: 2 стака |[weakness]|
dauntless-specialization-description,[1@warrior]|[*1@warrior]| Каждый раз; когда вы атакуете; получайте |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Когда вас атакуют; получайте |[combat-insight]|[0@warrior]
quickblade-specialization-description,[1@warrior]|[*1@warrior]| Каждый раз; когда вы атакуете; получайте |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Когда вас атакуют; получайте |[combat-insight]|[0@warrior]|\n|\n|<.>| Каждый раз; когда вы |[parry]|; получайте +1 |[total-attacks]|\n|<696969> сбрасывается каждый бой
rampager-specialization-description,[1@warrior]|[*1@warrior]| Каждый раз; когда вы атакуете; получайте |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Когда вас атакуют; получайте |[combat-insight]|[0@warrior]
thunderborn-specialization-description,[1@warrior]|[*1@warrior]| Каждый раз; когда вы атакуете; получайте |[combat-insight]|\n|[4@warrior]|[*4@warrior]| Когда вас атакуют; получайте |[combat-insight]|[0@warrior]|\n|\n|<.>| Каждый раз; когда вы оглушаете врага; атакуйте его
debilitator-specialization-description,[1@darkness]|[*1@darkness]| Наложите |[fear]| на всех врагов с меньшим уроном от атаки|\n|; чем у вас; в начале хода|[3@darkness]|\n|[*3@darkness]| После убийства врага; получите 2 стака |[dread]|[4@darkness]|\n|[*4@darkness]| В начале первого хода получите |[madness]|[0@darkness]
mindbreaker-specialization-description,<.>| Наложите 2 стака |[madness]| на врагов с |[confusion]|\n|[1@darkness]|[*1@darkness]| Наложите |[fear]| на всех врагов с меньшим уроном от атаки|\n|; чем у вас; в начале хода|[3@darkness]|\n|[*3@darkness]| После убийства врага; получите 2 стака |[dread]|[4@darkness]|\n|[*4@darkness]| В начале первого хода получите |[madness]|[0@darkness]
deserter-specialization-description,Если у цели более 90% |[health]|:|\n|[1@mercenary]|[1@mercenary]| Нанесите 25%|<00cd58> +|[luck]| увеличенного урона от атаки|\n|[3@mercenary]|[*3@mercenary]| Получите +1 |[total-attacks]| в этот ход|\n|\n|<.>| получайте +1 к |[total-attacks]| каждые 10 этажей
faithbound-specialization-description,Если у цели более 90% |[health]|:|\n|[1@mercenary]|[1@mercenary]| Нанесите 25%|<00cd58> +|[luck]| увеличенного урона от атаки|\n|[3@mercenary]|[*3@mercenary]| Получите +1 |[total-attacks]| в этот ход|\n|\n|<.>| ПАССИВНЫЙ: |[judgments-call]
echomancer-specialization-description,[1@unchained]|[*1@unchained]| Дебаффы применяются ко всем врагам|\n|[2@unchained]|[*2@unchained]| Вдвое больше дебаффов; которые вы накладываете
evadium-specialization-description,[1@arcanum]|[*1@arcanum]| Пока |[magic-shield]| активен; |<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| Получите |[magic-shield]| в конце хода|\n|[4@arcanum]|[*4@arcanum]| Получите |[magic-shield]| после убийства врага|\n|\n|<.> | Каждый раз; когда вы |[dodge]|; |[counter-attack]
invulnerium-specialization-description,[1@arcanum]|[*1@arcanum]| Пока |[magic-shield]| активен; |<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| Получите |[magic-shield]| в конце хода|\n|[4@arcanum]|[*4@arcanum]| Получите |[magic-shield]| после убийства врага|\n|\n|<.>| Когда ваш |[magic-shield]| сломается в первый раз; получите |[invulnerability]
stunium-specialization-description,[1@arcanum]|[*1@arcanum]| Пока |[magic-shield]| активен; |<7569f5>+375%|[magic-damage]|\n|<.>| Когда ваш |[magic-shield]| ломается; |[stun]| всем врагам|\n|[2@arcanum]|[*2@arcanum]| Получите |[magic-shield]| в конце хода|\n|[4@arcanum]|[*4@arcanum]| Получите |[magic-shield]| после убийства врага
harbinger-specialization-description,<.>| Нанесите +1000% урона от атаки врагам с |[arthurs-mark]|\n|\n|<.>| В начале боя получите |[invulnerability]|\n|\n|<.>| В конце вашего первого хода наложите заряд|\n| |[arthurs-mark]| на случайного врага|\n|\n|<.>| Когда враг с |[arthurs-mark]| умирает;|\n| он будет применен к другому врагу
lionheart-specialization-description,<.>| Уменьшите урон на 1000% от врагов с |[arthurs-mark]|\n|\n|<.>| В начале боя получите |[invulnerability]|\n|\n|<.>| В конце вашего первого хода наложите заряд|\n| |[arthurs-mark]| на случайного врага|\n|\n|<.>| Когда враг с |[arthurs-mark]| умирает;|\n| он будет применен к другому врагу
pursuer-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| гарантировано; если у вас есть любое количество |[agility]|[3@scout]|\n|<.>| |[*3@scout]| После 3 |[dodge]|; станьте |[elusive]|[0@scout]|\n|\n|Каждый раз; когда вы избегаете атаки:|\n|<.>| Получайте {lethality-amount}% |[lethality]|<696969> - сбрасывается в каждом бою
striker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| гарантировано; если у вас есть любое количество |[agility]|[3@scout]|\n|<.>| |[*3@scout]| После 3 |[dodge]|; станьте |[elusive]|[0@scout]|\n|\n|Каждый раз; когда вы избегаете атаки:|\n|<.>| |[counter-attack]
windwalker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[dodge]| гарантировано; если у вас есть любое количество |[agility]|[3@scout]|\n|<.>| |[*3@scout]| После 3 |[dodge]|; станьте |[elusive]|[0@scout]|\n|\n|Каждый раз; когда вы избегаете атаки:
honor-trial-description,<.>| Все враги получают 1 уровень
resilience-trial-description,<.>| Все враги получат |[armor]|
swarm-trial-description,<.>| В каждом бою будет по 6 врагов
confrontation-trial-description,<.>| Все враги: +1 |[total-attacks]
sagacity-trial-description,Добавляет таймер к вашим действиям; если|\n|таймер достигает 0; забег завершается
?-label,
