language-name-text,中文 (繁體)
wood-item-set-description,[1@wood]|[*1@wood]| +25% |[luck]|\n|[3@wood]|[*3@wood]| +10% |[luck]
zephyron-item-set-description,[1@zephyron]|<.>| |[*1@zephyron]| 每回合獲得 {amount}% |[magic-damage]||<696969> 每場戰鬥後重置|\n|[2@zephyron]|<.>| |[*2@zephyron]| 造成的 |[magic-damage]| 將應用於帶有 |[silence]| 的敵人|\n|[4@zephyron]|<.>| |[*4@zephyron]| 首個激活的能力不消耗 |[mana]
beastbound-specialization-description,[1@hunter]|[*1@hunter]| 每超過100%的|[crit-chance]|每1%會轉化為|\n| 10% |[critical-damage]|\n|[3@hunter]|[*3@hunter]| 目標無法|[dodge]|你的|[critical-strike]|攻擊\n|\n|<.>| |[crit-chance]|會影響|[parry]|攻擊
bloodcaster-specialization-description,[1@vampiric]|[*1@vampiric]| 你對一個新目標的首次攻擊施加8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| 每當敵人受到|[bleed-damage]|時；|[heal]|\n| 等量的生命值|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| 將轉化為|[power]|\n|<696969> 每場戰鬥重置|\n|\n|每次你 |[heal]|時:|\n|<.>| 對選定的敵人造成等於你|\n|  治療量的 |[magic-damage]
vampiercer-specialization-description,[1@vampiric]|[*1@vampiric]| 你對一個新目標的首次攻擊施加8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| 每當敵人受到|[bleed-damage]|時；|[heal]|\n| 等量的生命值|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| 將轉化為|[power]|\n|<696969> 每場戰鬥重置|\n|\n|每次你 |[heal]|時:|\n|<.>| 對選定的敵人造成等於你|\n|  治療量的直接 |[physical-damage]|；無視其 |[armor]
venomire-specialization-description,[1@vampiric]|[*1@vampiric]| 你對一個新目標的首次攻擊施加8% |[bleed]|\n|\n|[3@vampiric]|[*3@vampiric]| 每當敵人受到|[bleed-damage]|時；|[heal]|\n| 等量的生命值|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]| 將轉化為|[power]|\n|<696969> 每場戰鬥重置|\n|\n|每次你 |[heal]|時:|\n|<.>| 對選定的敵人施加等於你|\n|  治療量的 |[poison]| 疊加
bloodmoon-specialization-description,<.>| 將損失的200%|[health]|轉化為|[physical-attack]|\n|<696969> 每場戰鬥重置|\n|[1@shadow]|[*1@shadow]| 每當你閃避一次攻擊; |[backstab]|\n|[3@shadow]|[*3@shadow]| 在|[elusive]|期間避免的傷害將轉為|\n| |[adaptive-attack]|<696969> - 每場戰鬥重置
moonlighter-specialization-description,[1@shadow]|[*1@shadow]| 每當你閃避一次攻擊; |[backstab]|\n|[3@shadow]|[*3@shadow]| 在|[elusive]|期間避免的傷害將轉為|\n| |[adaptive-attack]|<696969> - 每場戰鬥重置
nighthrust-specialization-description,[1@shadow]|[*1@shadow]| 每當你閃避一次攻擊; |[backstab]|\n|[3@shadow]|[*3@shadow]| 在|[elusive]|期間避免的傷害將轉為|\n| |[adaptive-attack]|<696969> - 每場戰鬥重置|\n|<.>| 獲得通過|[dodge]|避免的攻擊傷害|\n|<696969> 每場戰鬥重置
challenger-specialization-description,[1@demonic]|[*1@demonic]| 每25點基礎|[max-health]|\n| 獲得1%|[physical-attack]|\n|\n|[3@demonic]|[*3@demonic]| 在第一回合開始時獲得|[multi-attack-charge]||\n|\n|<.>|對帶有|[arthurs-mark]|的敵人造成傷害的45%將|\n| 擴散到相鄰的敵人身上
chromaguard-specialization-description,[1@chromalure]|[*1@chromalure]| 施加|[poison]|後；對目標造成|\n| 等量的|[poison-damage]||\n|\n|[3@chromalure]|[*3@chromalure]| 每回合開始時，獲得|[toxic-transmute]|[0@chromalure]
chromaspite-specialization-description,[1@chromalure]|[1@chromalure]| 施加|[poison]|後；對目標造成|\n| 等量的|[poison-damage]||\n|\n|[3@chromalure]|[3@chromalure]| 每回合開始時，獲得|[toxic-transmute]|[0@chromalure]|\n|\n|<.>| 將75%的|[physical-attack]|轉化為|\n| |[toxicity]
chromathorn-specialization-description,受到攻擊後:|\n|<.>| 對攻擊者造成|[magic-damage]|; 數值為 |[active-armor]||\n|<.>| 每次你被擊中時；對|\n| 攻擊者施加等於你|[toxicity]|的|[poison]
cinderthorn-specialization-description,受到攻擊後:|\n|<.>| 對攻擊者造成|[magic-damage]|; 數值為 |[active-armor]*||\n|<.>| |[immolate]
mindthorn-specialization-description,受到攻擊後:|\n|<.>| 對攻擊者造成|[magic-damage]|; 數值為 |[active-armor]*||\n|<.>| 獲得 +25% |[wisdom]|<696969> (每場戰鬥重置)
thornfrost-specialization-description,受到攻擊後:|\n|<.>| 對攻擊者造成|[magic-damage]|; 數值為 |[active-armor]*||\n|<.>| 對攻擊者施加 2 層 |[weakness]|
dauntless-specialization-description,[1@warrior]|[*1@warrior]| 每次攻擊時獲得|[combat-insight]|\n|[4@warrior]|[*4@warrior]| 被攻擊時獲得|[combat-insight]|[0@warrior]
quickblade-specialization-description,[1@warrior]|[*1@warrior]| 每次攻擊時獲得|[combat-insight]|\n|[4@warrior]|[*4@warrior]| 被攻擊時獲得|[combat-insight]|[0@warrior]|\n|\n|<.>| 每次|[parry]|時；獲得+1|[total-attacks]|\n|<696969> 每場戰鬥重置
rampager-specialization-description,[1@warrior]|[*1@warrior]| 每次攻擊時獲得|[combat-insight]|\n|[4@warrior]|[*4@warrior]| 被攻擊時獲得|[combat-insight]|[0@warrior]
thunderborn-specialization-description,[1@warrior]|[*1@warrior]| 每次攻擊時獲得|[combat-insight]|\n|[4@warrior]|[*4@warrior]| 被攻擊時獲得|[combat-insight]|[0@warrior]|\n|\n|<.>| 每次你擊暈敵人時；攻擊它
debilitator-specialization-description,[1@darkness]|[*1@darkness]| 在回合開始時對所有攻擊力低於你的敵人施加|[fear]|[3@darkness]|\n|[*3@darkness]| 擊殺敵人後獲得2層|[dread]|[4@darkness]|\n|[*4@darkness]| 在第一回合開始時獲得|[madness]|[0@darkness]
mindbreaker-specialization-description,<.>| 對帶有|[confusion]|的敵人施加2層|[madness]||\n|[1@darkness]|[*1@darkness]| 在回合開始時對所有攻擊力低於你的敵人施加|[fear]|[3@darkness]|\n|[*3@darkness]| 擊殺敵人後獲得2層|[dread]|[4@darkness]|\n|[*4@darkness]| 在第一回合開始時獲得|[madness]|[0@darkness]
deserter-specialization-description,如果目標|[health]|高於90%：|\n|[1@mercenary]|[1@mercenary]| 造成25%|<00cd58>+|[luck]|增加的攻擊傷害|\n|[3@mercenary]|[*3@mercenary]| 本回合獲得+1 |[total-attacks]||\n|\n|<.>| 每10層獲得+1|[total-attacks]|
faithbound-specialization-description,如果目標|[health]|高於90%：|\n|[1@mercenary]|[1@mercenary]| 造成25%|<00cd58>+|[luck]|增加的攻擊傷害|\n|[3@mercenary]|[*3@mercenary]| 本回合獲得+1 |[total-attacks]||\n|\n|<.>| 被動：|[judgments-call]
echomancer-specialization-description,[1@unchained]|[*1@unchained]| 負面效果會套用到所有敵人|\n|[2@unchained]|[*2@unchained]| 你施加的負面效果加倍
evadium-specialization-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]|啟用時；獲得|<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| 回合結束時獲得一個|[magic-shield]|\n|[4@arcanum]|[*4@arcanum]| 擊殺敵人後獲得一個|[magic-shield]|\n|\n|<.> | 每當你 |[dodge]| 時；|[counter-attack]
invulnerium-specialization-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]|啟用時；獲得|<7569f5>+375%|[magic-damage]|\n|[2@arcanum]|[*2@arcanum]| 回合結束時獲得一個|[magic-shield]|\n|[4@arcanum]|[*4@arcanum]| 擊殺敵人後獲得一個|[magic-shield]|\n|\n|<.>| 你的|[magic-shield]|第一次破碎時；獲得|[invulnerability]
stunium-specialization-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]|啟用時；獲得|<7569f5>+375%|[magic-damage]|\n|<.>| 當你的|[magic-shield]|破碎時；|[stun]|所有敵人|\n|[2@arcanum]|[*2@arcanum]| 回合結束時獲得一個|[magic-shield]|\n|[4@arcanum]|[*4@arcanum]| 擊殺敵人後獲得一個|[magic-shield]
harbinger-specialization-description,<.>| 對帶有|[arthurs-mark]|的敵人造成+1000%攻擊傷害|\n|\n|<.>| 戰鬥開始時；獲得|[invulnerability]|\n|\n|<.>| 在你的第一個回合結束時；對一個隨機敵人施加一層|\n| |[arthurs-mark]||\n|\n|<.>| 當一個帶有|[arthurs-mark]|的敵人死亡時；|\n| 它將被施加到另一個敵人身上
lionheart-specialization-description,<.>| 使來自帶有|[arthurs-mark]|的敵人的傷害降低1000%|\n|\n|<.>| 戰鬥開始時；獲得|[invulnerability]|\n|\n|<.>| 在你的第一個回合結束時；對一個隨機敵人施加一層|\n| |[arthurs-mark]||\n|\n|<.>| 當一個帶有|[arthurs-mark]|的敵人死亡時；|\n| 它將被施加到另一個敵人身上
pursuer-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|只要你有任意數量的|[agility]|，就保證|[dodge]|[3@scout]|\n|<.>| |[*3@scout]| |[dodge]|3次後，變為|[elusive]|[0@scout]|\n|\n|每次你閃避攻擊時：|\n|<.>| 獲得{lethality-amount}% |[lethality]|<696969> - 每場戰鬥重置
striker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|只要你有任意數量的|[agility]|，就保證|[dodge]|[3@scout]|\n|<.>| |[*3@scout]| |[dodge]|3次後，變為|[elusive]|[0@scout]|\n|\n|每次你閃避攻擊時：|\n|<.>| |[counter-attack]
windwalker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|只要你有任意數量的|[agility]|，就保證|[dodge]|[3@scout]|\n|<.>| |[*3@scout]| |[dodge]|3次後，變為|[elusive]|[0@scout]|\n|\n|每次你閃避攻擊時：
honor-trial-description,<.>| 所有敵人獲得1級
resilience-trial-description,<.>| 所有敵人都會獲得|[armor]|
swarm-trial-description,<.>| 每場戰鬥都會有6名敵人
confrontation-trial-description,<.>| 所有敵人獲得 +1 |[total-attacks]
sagacity-trial-description,為你的行動增加一個計時器；如果|\n|計時器達到0；則結束本輪遊戲
?-label,
