language-name-text,日本語
orion-item-set-description,[1@orion]|[*1@orion]| |[health]| が減少するにつれてダメージ耐性が増加; |[health]| が25%の時に最大75%の耐性|\n|\n|[3@orion]|[*3@orion]| 最初の3ターンの終了時、|[armor]|の25%を修復|\n|\n|[4@orion]|[*4@orion]| |[heal]|不可
phantom-item-set-description,装備不可
poverty-item-set-description,<.> |[health]|が25%以下のとき、75%の|[crit-chance]|を獲得|\n|<.> |[anti-steal]|を獲得
royal-item-set-description,初回ターンで|[inherited-sin]|を受ける|\n|\n|もし|[cleanse]|が解除された場合、|[inherited-sin]|を受けて、|\n|[debuff-immunity]|を5スタック獲得
scout-item-set-description,[1@scout]|\n|<.>| |[*1@scout]|[agility]|が少しでもあれば|[dodge]|が保証される|[3@scout]|\n|<.>| |[*3@scout]| 3回|[dodge]|した後、|[elusive]|になる[0@scout]
shadow-item-set-description,[1@shadow]|[*1@shadow]| 攻撃を回避するたびに; |[backstab]|\n|[3@shadow]|[*3@shadow]| |[elusive]|中に回避したダメージを|\n| |[adaptive-attack]|として得る<696969> - 戦闘ごとにリセット
silver-item-set-description,[1@silver]|[*1@silver]| |[faith]|が少しでもある場合、|[cleanse]|が保証される|\n|\n|[3@silver]|[3@silver]| |[cleanse]|時に|[faith]| |[grace]|を受け取る
swiftness-item-set-description,|[total-attacks]|を2倍にするが、各攻撃後に|[accuracy]|を|\n|5%失う<696969>毎ターンリセット
thunder-item-set-description,[1@thunder]|[*1@thunder]|[electric-damage]|は、自分のターン中に25% + |[luck]*|の確率で|[stun]|する|\n|[3@thunder]|[*3@thunder]| 自分のターン中に適用された|[stun]|の持続時間を2倍にする
unchained-item-set-description,[1@unchained]|[*1@unchained]| デバフが全ての敵に適用される|\n|[2@unchained]|[*2@unchained]| 自分が与えるデバフを2倍にする
vampiric-item-set-description,[1@vampiric]|[*1@vampiric]| 新しい対象への最初の攻撃時; 8%の|[bleed]|を付与|\n|\n|[3@vampiric]|[*3@vampiric]| 敵が|[bleed-damage]|を受けるたび; その量だけ|[heal]|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]|は|[power]|に変換される|\n|<696969>戦闘ごとにリセット
warrior-item-set-description,[1@warrior]|[*1@warrior]| 攻撃するたびに|[combat-insight]|を受け取る|\n|[4@warrior]|[*4@warrior]| 攻撃されると|[combat-insight]|を受け取る[0@warrior]
wood-item-set-description,[1@wood]|[*1@wood]| +25% |[luck]|\n|[3@wood]|[*3@wood]| +10% |[luck]
zephyron-item-set-description,[1@zephyron]|<.>| |[*1@zephyron]| 毎ターン {amount}% の |[magic-damage]| を獲得|<696969> 毎バトルでリセット|\n|[2@zephyron]|<.>| |[*2@zephyron]| 与えた |[magic-damage]| は |[silence]| 状態の敵に適用される|\n|[4@zephyron]|<.>| |[*4@zephyron]| 最初に発動したアビリティは |[mana] を消費しない
beastbound-specialization-description,[1@hunter]|[*1@hunter]| 100%を超える|[crit-chance]|1%ごとに|\n| |[critical-damage]|10%へ変換される\n|[3@hunter]|[*3@hunter]| 対象はあなたの|[critical-strike]|攻撃を|[dodge]|できない\n|\n|<.>| |[crit-chance]|は|[parry]|攻撃にも影響する
bloodcaster-specialization-description,[1@vampiric]|[*1@vampiric]| 新しい対象への最初の攻撃時; 8%の|[bleed]|を付与|\n|\n|[3@vampiric]|[*3@vampiric]| 敵が|[bleed-damage]|を受けるたび; その量だけ|[heal]|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]|は|[power]|に変換される|\n|<696969>戦闘ごとにリセット|\n|\n|自分が|[heal]|するたび：|\n|<.>| |[heal]|した量と等しい|[magic-damage]|を|\n|  選択した敵に与える
vampiercer-specialization-description,[1@vampiric]|[*1@vampiric]| 新しい対象への最初の攻撃時; 8%の|[bleed]|を付与|\n|\n|[3@vampiric]|[*3@vampiric]| 敵が|[bleed-damage]|を受けるたび; その量だけ|[heal]|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]|は|[power]|に変換される|\n|<696969>戦闘ごとにリセット|\n|\n|自分が|[heal]|するたび：|\n|<.>| |[heal]|した量と等しい直接 |[physical-damage]| を|\n|  選択した敵に与える; 敵の |[armor]| を無視
venomire-specialization-description,[1@vampiric]|[*1@vampiric]| 新しい対象への最初の攻撃時; 8%の|[bleed]|を付与|\n|\n|[3@vampiric]|[*3@vampiric]| 敵が|[bleed-damage]|を受けるたび; その量だけ|[heal]|\n|\n|[5@vampiric]|[*5@vampiric]| |[bleed-damage]|は|[power]|に変換される|\n|<696969>戦闘ごとにリセット|\n|\n|自分が|[heal]|するたび：|\n|<.>| |[heal]|した量と等しい|[poison]|スタックを|\n|  選択した敵に付与
bloodmoon-specialization-description,<.>| 失った|[health]|の200%を|[physical-attack]|に変換|\n|<696969> バトル毎にリセット|\n|[1@shadow]|[*1@shadow]| 攻撃を回避するたび; |[backstab]|\n|[3@shadow]|[*3@shadow]| |[elusive]|中に回避したダメージを|\n| |[adaptive-attack]|として得る<696969> - 戦闘ごとにリセット
moonlighter-specialization-description,[1@shadow]|[*1@shadow]| 攻撃を回避するたびに; |[backstab]|\n|[3@shadow]|[*3@shadow]| |[elusive]|中に回避したダメージを|\n| |[adaptive-attack]|として得る<696969> - 戦闘ごとにリセット
nighthrust-specialization-description,[1@shadow]|[*1@shadow]| 攻撃を回避するたび; |[backstab]|\n|[3@shadow]|[*3@shadow]| |[elusive]|中に回避したダメージを|\n| |[adaptive-attack]|として得る<696969> - 戦闘ごとにリセット|\n|<.>| |[dodge]|で回避した攻撃ダメージを獲得|\n|<696969> バトル毎にリセット
challenger-specialization-description,[1@demonic]|[*1@demonic]| 基本|[max-health]|25ごとに|\n| |[physical-attack]|1%を獲得|\n|\n|[3@demonic]|[*3@demonic]| 最初のターン開始時に|[multi-attack-charge]|を受け取る|\n|\n|<.>| |[arthurs-mark]|を持つ敵に与えたダメージの45%が|\n| 隣接する敵に拡散する
chromaguard-specialization-description,[1@chromalure]|[*1@chromalure]| |[poison]|適用後、対象にその量と|\n| 等しい|[poison-damage]|を与える|\n|\n|[3@chromalure]|[*3@chromalure]| 毎ターン開始時、|[toxic-transmute]|を受け取る[0@chromalure]
chromaspite-specialization-description,[1@chromalure]|[*1@chromalure]| |[poison]|適用後、対象にその量と|\n| 等しい|[poison-damage]|を与える|\n|\n|[3@chromalure]|[*3@chromalure]| 毎ターン開始時、|[toxic-transmute]|を受け取る[0@chromalure]|\n|\n|<.>| |[physical-attack]|の75%を|[toxicity]|に変換
chromathorn-specialization-description,攻撃を受けた後:|\n|<.>| 攻撃者に|[magic-damage]|として|[active-armor]|を与える|\n|<.>| 攻撃を受けるたびに、あなたの|[toxicity]|に等しい|[poison]|を|\n| 攻撃者に適用する
cinderthorn-specialization-description,攻撃を受けた後:|\n|<.>| 攻撃者に|[magic-damage]|として|[active-armor]*|を与える|\n|<.>| |[immolate]
mindthorn-specialization-description,攻撃を受けた後:|\n|<.>| 攻撃者に|[magic-damage]|として|[active-armor]*|を与える|\n|<.>| |[wisdom]|+25% を獲得<696969> (毎戦闘でリセット)
thornfrost-specialization-description,攻撃を受けた後:|\n|<.>| 攻撃者に|[magic-damage]|として|[active-armor]*|を与える|\n|<.>| 攻撃者に|[weakness]|を2スタック付与
dauntless-specialization-description,[1@warrior]|[*1@warrior]| 攻撃するたびに|[combat-insight]|を受け取る|\n|[4@warrior]|[*4@warrior]| 攻撃されると|[combat-insight]|を受け取る[0@warrior]
quickblade-specialization-description,[1@warrior]|[*1@warrior]| 攻撃するたびに|[combat-insight]|を受け取る|\n|[4@warrior]|[*4@warrior]| 攻撃されると|[combat-insight]|を受け取る[0@warrior]|\n|\n|<.>| |[parry]|するたびに|[total-attacks]|+1を受け取る|\n|<696969> バトル毎にリセット
rampager-specialization-description,[1@warrior]|[*1@warrior]| 攻撃するたびに|[combat-insight]|を受け取る|\n|[4@warrior]|[*4@warrior]| 攻撃されると|[combat-insight]|を受け取る[0@warrior]
thunderborn-specialization-description,[1@warrior]|[*1@warrior]| 攻撃するたびに|[combat-insight]|を受け取る|\n|[4@warrior]|[*4@warrior]| 攻撃されると|[combat-insight]|を受け取る[0@warrior]|\n|\n|<.>| 敵を気絶させるたびに攻撃する
debilitator-specialization-description,[1@darkness]|[*1@darkness]| ターン開始時、自分より攻撃ダメージの低い全ての敵に|[fear]|を適用|[3@darkness]|\n|[*3@darkness]| 敵を倒した後、|[dread]|を2スタック受け取る|[4@darkness]|\n|[*4@darkness]| 最初のターン開始時に|[madness]|を受け取る[0@darkness]
mindbreaker-specialization-description,<.>| |[confusion]|を持つ敵に|[madness]|を2スタック適用|\n|[1@darkness]|[*1@darkness]| ターン開始時、自分より攻撃ダメージの低い全ての敵に|[fear]|を適用|[3@darkness]|\n|[*3@darkness]| 敵を倒した後、|[dread]|を2スタック受け取る|[4@darkness]|\n|[*4@darkness]| 最初のターン開始時に|[madness]|を受け取る[0@darkness]
deserter-specialization-description,対象の|[health]|が90%超の場合：|\n|[1@mercenary]|[1@mercenary]| 25%|<00cd58> +|[luck]|増加した攻撃ダメージを与える|\n|[3@mercenary]|[*3@mercenary]| このターン、|[total-attacks]|+1を獲得|\n|\n|<.>| 10フロアごとに|[total-attacks]|+1を獲得
faithbound-specialization-description,対象の|[health]|が90%超の場合：|\n|[1@mercenary]|[1@mercenary]| 25%|<00cd58> +|[luck]|増加した攻撃ダメージを与える|\n|[3@mercenary]|[*3@mercenary]| このターン、|[total-attacks]|+1を獲得|\n|\n|<.>| パッシブ：|[judgments-call]
echomancer-specialization-description,[1@unchained]|[*1@unchained]| デバフが全ての敵に適用される|\n|[2@unchained]|[*2@unchained]| 自分が付与するデバフが2倍になる
evadium-specialization-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]| が有効な間; |<7569f5>+375%|[magic-damage]| を獲得|\n|[2@arcanum]|[*2@arcanum]| ターン終了時に |[magic-shield]| を獲得|\n|[4@arcanum]|[*4@arcanum]| 敵を倒した後; |[magic-shield]| を獲得|\n|\n|<.> | |[dodge]| するたび; |[counter-attack]
invulnerium-specialization-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]| が有効な間; |<7569f5>+375%|[magic-damage]| を獲得|\n|[2@arcanum]|[*2@arcanum]| ターン終了時に |[magic-shield]| を獲得|\n|[4@arcanum]|[*4@arcanum]| 敵を倒した後; |[magic-shield]| を獲得|\n|\n|<.>| 最初に |[magic-shield]| が壊れた時; |[invulnerability]| を獲得
stunium-specialization-description,[1@arcanum]|[*1@arcanum]| |[magic-shield]| が有効な間; |<7569f5>+375%|[magic-damage]| を獲得|\n|<.>| |[magic-shield]| が壊れた時; 敵全体に |[stun]||\n|[2@arcanum]|[*2@arcanum]| ターン終了時に |[magic-shield]| を獲得|\n|[4@arcanum]|[*4@arcanum]| 敵を倒した後; |[magic-shield]| を獲得
harbinger-specialization-description,<.>| |[arthurs-mark]|を持つ敵に+1000%の攻撃ダメージを与える|\n|\n|<.>| 戦闘開始時、|[invulnerability]|を受け取る|\n|\n|<.>| 最初のターンの終了時、ランダムな敵に|[arthurs-mark]|のスタックを適用|\n|\n|<.>| |[arthurs-mark]|を持つ敵が死ぬと、|\n| 別の敵に適用される
lionheart-specialization-description,<.>| |[arthurs-mark]|を持つ敵からのダメージを1000%減少|\n|\n|<.>| 戦闘開始時、|[invulnerability]|を受け取る|\n|\n|<.>| 最初のターンの終了時、ランダムな敵に|[arthurs-mark]|のスタックを適用|\n|\n|<.>| |[arthurs-mark]|を持つ敵が死ぬと、|\n| 別の敵に適用される
pursuer-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[agility]|が少しでもあれば|[dodge]|が保証される|[3@scout]|\n|<.>| |[*3@scout]| 3回|[dodge]|した後、|[elusive]|になる[0@scout]|\n|\n|攻撃を回避するたび：|\n|<.>| {lethality-amount}%の|[lethality]|を獲得<696969> - 戦闘ごとにリセット
striker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[agility]|が少しでもあれば|[dodge]|が保証される|[3@scout]|\n|<.>| |[*3@scout]| 3回|[dodge]|した後、|[elusive]|になる[0@scout]|\n|\n|攻撃を回避するたび：|\n|<.>| |[counter-attack]
windwalker-specialization-description,[1@scout]|\n|<.>| |[*1@scout]|[agility]|が少しでもあれば|[dodge]|が保証される|[3@scout]|\n|<.>| |[*3@scout]| 3回|[dodge]|した後、|[elusive]|になる[0@scout]|\n|\n|攻撃を回避するたび：
honor-trial-description,<.> |すべての敵が1レベル獲得
resilience-trial-description,<.>| すべての敵が|[armor]|を獲得する
swarm-trial-description,<.>| すべてのバトルに敵が6体
confrontation-trial-description,<.>| すべての敵が |[total-attacks]| +1 を獲得
sagacity-trial-description,アクションにタイマーが追加され、タイマーが0になるとランは終了
?-label,
