id,english,french,german,spanish,japanese,koreana,polish,portuguese,russian,schinese,tchinese
multi-attack-charge-status-effect-description,[multi-attack]| this turn,[multi-attack]| ce tour,[multi-attack]| in dieser Runde,[multi-attack]| este turno,このターンは [multi-attack]|,이번 턴에 [multi-attack]|,[multi-attack]| w tej turze,[multi-attack]| neste turno,[multi-attack]| в этот ход,本回合 [multi-attack]|,本回合 [multi-attack]|
stun-attack-charge-status-effect-description,All your hits will apply |[stun]| on the target,Tous vos coups appliquent |[stun]| à la cible,Alle Treffer fügen dem Ziel |[stun]| zu,Todos tus golpes aplicarán |[stun]| al objetivo,すべての攻撃が対象に |[stun]| を付与する,모든 타격이 대상에게 |[stun]| 적용,Wszystkie twoje trafienia nałożą na cel |[stun]|,Todos os seus golpes aplicam |[stun]| no alvo,Все ваши попадания наложат на цель |[stun]|,你的所有命中都会对目标施加 |[stun]|,你的所有命中會對目標施加 |[stun]|
debuff-immunity-status-effect-description,Stops all debuffs from being applied,Empêche les effets négatifs d'être appliqués,Verhindert alle Debuffs,Impide que se aplique cualquier efecto negativo.,すべてのデバフの適用を停止,디버프 적용을 모두 막습니다,Uniemożliwia wywołanie negatywnych efektów,Impede que todas as desvantagens sejam infligidas,Запрещает получать отрицательные эффекты,阻止所有减益的施放,阻止所有減益施放
golden-heart-status-effect-description,Upon dropping to 0 |[health]|:|\n|<.>| revive and |[heal]| for 25% of your |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| gain |[invulnerability],En tombant à 0 |[health]|:|\n|<.>| ressuscitez et |[heal]| de 25% de votre |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| obtenez |[invulnerability]|,Wenn du auf 0 |[health]| fällst:|\n|<.>| belebe dich wieder und |[heal]| um 25% deiner |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| erhalte |[invulnerability]|,Al caer a 0 |[health]|:|\n|<.>| revive y |[heal]| un 25% de tu |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| gana |[invulnerability]|,|[health]|が0になると:|\n|<.>| 復活し、|[max-health]|の25%分|[heal]|する|\n|[3@golden]|<.>| |[*3@golden]| |[invulnerability]|を獲得,|[health]|가 0이 되면:|\n|<.>| 부활하고 |[max-health]|의 25%만큼 |[heal]|됩니다|\n|[3@golden]|<.>| |[*3@golden]| |[invulnerability]|를 획득합니다,Po spadku do 0 |[health]|:|\n|<.>| ożyj i |[heal]| o 25% twojego |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| zyskaj |[invulnerability]|,Ao cair para 0 |[health]|:|\n|<.>| reviva e |[heal]| por 25% do seu |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| ganhe |[invulnerability]|,При падении до 0 |[health]|:|\n|<.>| воскресните и |[heal]| на 25% вашего |[max-health]|\n|[3@golden]|<.>| |[*3@golden]| получите |[invulnerability]|,当生命值降至 0 |[health]| 时:|\n|<.>| 复活并 |[heal]| 你 |[max-health]| 的 25%|\n|[3@golden]|<.>| |[*3@golden]| 获得 |[invulnerability]|,當生命值降至 0 |[health]| 時:|\n|<.>| 復活並 |[heal]| 你 |[max-health]| 的 25%|\n|[3@golden]|<.>| |[*3@golden]| 獲得 |[invulnerability]|
lethality-status-effect-description,Dealing damage to the target that would leave it below % |[max-health]|\n|that equals to % |[lethality]| will |[execute]| it,Infliger des dégâts laissant la cible sous le % de |[max-health]||\n|égal à votre % de |[lethality]| déclenche |[execute]|.,Wenn Schaden das Ziel unter % |[max-health]||\n|bringt das % |[lethality]| entspricht wird es |[execute]|,Infligir daño al objetivo que lo dejaría por debajo del % |[max-health]||\n|igual al % |[lethality]| lo |[execute]|,ターゲットに、% |[lethality]|と等しい% |[max-health]|以下にするダメージを与えると|\n|そのターゲットを|[execute]|する,대상에게 % |[lethality]|와 동일한 % |[max-health]| 미만으로|\n|남게 하는 피해를 입히면 대상을 |[execute]|합니다,Zadanie obrażeń celowi które pozostawiłyby go poniżej % |[max-health]||\n|równego % |[lethality]| |[execute]| go,Causar dano ao alvo que o deixaria abaixo de % |[max-health]||\n|igual a % |[lethality]| irá |[execute]| ele,Нанесение урона цели который оставит её ниже % |[max-health]||\n|равного % |[lethality]| |[execute]| её,对目标造成使其低于 % |[max-health]| 的伤害|\n|如果等于 % |[lethality]|，将 |[execute]| 目标,對目標造成使其低於 % |[max-health]| 的傷害|\n|如果等於 % |[lethality]|，將 |[execute]| 目標
madness-status-effect-description,Only attack yourself,Ne peut attaquer que lui-même,Greife nur dich selbst an,Solo puedes atacarte a ti.,自分自身のみを攻撃,자기 자신만을 공격합니다,Można atakować tylko siebie,Ataque apenas a si mesmo,Позволяет атаковать только себя,仅攻击你自己,僅攻擊你自己
blindness-status-effect-description,Reduces your |[accuracy]| by 100%,Réduit votre |[accuracy]| de 100%,Verringert deine |[accuracy]| um 100%,Reduce tu |[accuracy]| un 100%,あなたの |[accuracy]| を100%低下,|[accuracy]| 100% 감소,Zmniejsza twoją |[accuracy]| o 100%,Reduz sua |[accuracy]| em 100%,Снижает вашу |[accuracy]| на 100%,将你的 |[accuracy]| 降低100%,將你的 |[accuracy]| 降低100%
clarity-status-effect-description,The next time you are about to receive |[stun]|\n|consume 1 |[clarity]| stack and negate it,La prochaine fois que vous êtes sur le point de recevoir |[stun]|\n|consommez 1 charge de |[clarity]| et annulez-le,Wenn du das nächste Mal |[stun]| erhalten sollst|\n|verbrauche 1 Stapel |[clarity]| und negiere es,La próxima vez que estés a punto de recibir |[stun]|\n|consume 1 acumulación de |[clarity]| y anúlalo,次に|[stun]|を受ける際|\n||[clarity]|を1スタック消費して無効化する,다음에 |[stun]|을 받으려고 할 때|\n||[clarity]| 스택 1개를 소모하고 무효화합니다,Gdy masz otrzymać |[stun]|\n|zużyj 1 ładunek |[clarity]|; by go zanegować,Na próxima vez que estiver prestes a receber |[stun]|\n|consuma 1 acúmulo de |[clarity]| e anule-o,В следующий раз; когда вы должны получить |[stun]|\n|поглотите 1 заряд |[clarity]| и отмените эффект,下次你即将受到|[stun]|时|\n|消耗1层|[clarity]|并使其无效,下次你即將受到|[stun]|時|\n|消耗1層|[clarity]|並使其無效
elusive-status-effect-description,All attacks against you will lose 100% |[accuracy],Toutes les attaques contre vous perdront 100% de |[accuracy]|,Alle Angriffe gegen dich verlieren 100% |[accuracy]|,Todos los ataques contra ti perderán un 100% de |[accuracy]|,あなたへの攻撃は |[accuracy]| を100%失う,당신을 향한 모든 공격은 |[accuracy]| 100% 상실,Wszystkie ataki przeciwko tobie stracą 100% |[accuracy]|,Todos os ataques contra você perdem 100% de |[accuracy]|,Все атаки по вам потеряют 100% |[accuracy]|,对你的所有攻击将失去100% |[accuracy]|,對你的所有攻擊將失去100% 的 |[accuracy]|
purification-status-effect-description,At the end of the turn; conume 1 stack and |[cleanse],À la fin du tour; consomme 1 cumul et lance |[cleanse],Du verbrauchst am Ende der Runde 1 Stapel und |[cleanse]| wird angewendet,Al acabar el turno; consume 1 unidad de |[cleanse]|.,ターンの最後、1スタック消費して|[cleanse]|を発動する,턴 마지막에 1 스택을 소모하고 |[cleanse],Na końcu tury zużywasz 1 kumulację i wywołujesz |[cleanse],No final do turno; gaste 1 acúmulo e receba |[cleanse],В конце хода расходует 1 заряд и применяет |[cleanse],回合结束时消耗1层叠加并进行|[cleanse],回合結束時，消耗1層疊加並進行|[cleanse]
grace-status-effect-description,Increases all damage,Augmente tous les dégâts,Steigert jeden Schaden,Aumenta todo el daño.,全ダメージを増,모든 피해 증가,Zwiększa wszystkie obrażenia,Aumenta todo o dano,Повышает весь урон,提高所有伤害,提高所有傷害
curse-of-the-tower-status-effect-description,Every turn receive |[true-damage]| that equals to 1% of your |[max-health]|\n|<696969>(recieved when a battle takes too long),Chaque tour; recevez des |[true-damage]| égaux à 1% de votre |[max-health]|\n|<696969>(reçu lorsqu'une bataille dure trop longtemps),Erhalte jede Runde |[true-damage]| in Höhe von 1% deiner |[max-health]|\n|<696969>(erhalten; wenn ein Kampf zu lange dauert),Cada turno recibe |[true-damage]| que equivale al 1% de tu |[max-health]|\n|<696969>(se recibe cuando una batalla dura demasiado),毎ターン、|[max-health]|の1%に等しい|[true-damage]|を受ける|\n|<696969>(戦闘が長引くと受ける),매 턴 |[max-health]|의 1%에 해당하는 |[true-damage]|를 받음|\n|<696969>(전투가 너무 길어지면 받음),Każdej tury otrzymujesz |[true-damage]| równe 1% twojego |[max-health]|\n|<696969>(otrzymywane; gdy bitwa trwa zbyt długo),A cada turno; receba |[true-damage]| igual a 1% da sua |[max-health]|\n|<696969>(recebido quando uma batalha demora muito),Каждый ход получайте |[true-damage]|; равный 1% от вашего |[max-health]|\n|<696969>(получается; когда бой длится слишком долго),每回合受到等于你|[max-health]|1%的|[true-damage]|\n|<696969>（战斗时间过长时获得）,每回合受到等於你|[max-health]|1%的|[true-damage]|\n|<696969>（戰鬥時間過長時獲得）
unavoidable-keyword-description,The attack will always land,L'attaque touche toujours,Der Angriff trifft immer,El ataque no fallará.,攻撃が常に当たる,해당 공격은 항상 받게 됩니다,Ten atak zawsze dosięga celu,O ataque sempre acertará o alvo,Атака всегда попадает в цель,攻击总是会达成,攻擊總是會命中
anti-steal-keyword-description,Protects you from |[steal],Vous protège du |[steal]|,Schützt dich vor |[steal],Te protege del |[steal]|.,[steal]|から保護,|[steal] 로부터 보호합니다,Chroni cię przed efektem |[steal],Protege você contra |[steal],Защищает от эффекта |[steal],保护你免受|[steal],保護你不被|[steal]
ascend-keyword-description,Start an ascended run from floor 1; the |[diamond]|\n|you earn will be multiplied by 2|<696969> (+1 each level)|\n|<ff4500>Floor 2+ items used in previous runs will be|\n|<ff4500>removed,Commencez une partie ascendante depuis l'étage 1; le |[diamond]|\nque vous gagnez sera multiplié par 2|<696969> (+1 à chaque niveau)|\n|<ff4500>Les objets des étages 2+ utilisés dans les parties précédentes seront|\n|<ff4500>supprimés,Starte einen aufgestiegenen Durchlauf von Ebene 1; die |[diamond]|\ndie du verdienst; werden mit 2 multipliziert|<696969> (+1 pro Level)|\n|<ff4500>Gegenstände von Ebene 2+ aus früheren Durchläufen werden|\n|<ff4500>entfernt,Empieza una partida ascendida desde el piso 1; el |[diamond]|\nque ganes se multiplicará por 2|<696969> (+1 por cada nivel)|\n|<ff4500>Los objetos de pisos 2+ usados en partidas anteriores serán|\n|<ff4500>eliminados,フロア1から昇天ランを開始; 獲得する|[diamond]|\nが2倍になります|<696969>（各レベル+1）|\n|<ff4500>以前のランで使用されたフロア2以上のアイテムは|\n|<ff4500>削除されます,1층부터 승천 달리기를 시작하세요; 획득하는 |[diamond]|\n은 2배가 됩니다|<696969> (레벨당 +1)|\n|<ff4500>이전 달리기에서 사용된 2층 이상의 아이템은|\n|<ff4500>제거됩니다,Rozpocznij wniebowstąpienie od piętra 1; zdobyty |[diamond]|\nzostanie pomnożony przez 2|<696969> (+1 na każdym poziomie)|\n|<ff4500>Przedmioty z pięter 2+ użyte w poprzednich podejściach zostaną|\n|<ff4500>usunięte,Comece uma corrida ascendida do andar 1; o |[diamond]|\nque você ganhar será multiplicado por 2|<696969> (+1 a cada nível)|\n|<ff4500>Itens do andar 2+ usados em corridas anteriores serão|\n|<ff4500>removidos,Начните вознесенный забег с 1-го этажа; получаемый |[diamond]|\nбудет умножен на 2|<696969> (+1 за каждый уровень)|\n|<ff4500>Предметы с этажей 2+ из прошлых забегов будут|\n|<ff4500>удалены,从第1层开始进行飞升挑战; 您获得的|[diamond]|\n将乘以2|<696969>（每级+1）|\n|<ff4500>先前挑战中使用过的2层以上物品将被|\n|<ff4500>移除,從第1層開始進行飛升挑戰; 您獲得的|[diamond]|\n將乘以2|<696969>（每級+1）|\n|<ff4500>先前挑戰中使用過的2層以上物品將被|\n|<ff4500>移除
tinker-keyword-description,The merchant will do the following to the items you give him:|\n|<.>| Convert reforges and items into tinker kits|\n|<.>| Upgrade reforged items,Le marchand fera ce qui suit aux objets que vous lui donnez :|\n|<.>| Convertir les reforges et les objets en kits de bricolage|\n|<.>| Améliorer les objets reforgés,Der Händler wird Folgendes mit den Gegenständen tun; die du ihm gibst:|\n|<.>| Umschmiedungen und Gegenstände in Tüftlerausrüstungen umwandeln|\n|<.>| Neu geschmiedete Gegenstände verbessern,El mercader hará lo siguiente con los objetos que le des:|\n|<.>| Convertir reforjas y objetos en kits de herramientas|\n|<.>| Mejorar objetos reforjados,商人は渡したアイテムに次のことを行います：|\n|<.>| 鍛え直しとアイテムを工作キットに変換|\n|<.>| 鍛え直したアイテムをアップグレード,상인은 당신이 준 아이템에 대해 다음을 수행합니다:|\n|<.>| 재제작 및 아이템을 땜장이 키트로 전환|\n|<.>| 재제작된 아이템 업그레이드,Handlarz zrobi z przekazanymi mu przedmiotami; co następuje:|\n|<.>| Przekształci przekucia i przedmioty w zestawy majsterkowicza|\n|<.>| Ulepszy przekute przedmioty,O mercador fará o seguinte com os itens que você lhe der:|\n|<.>| Converter reforjas e itens em kits de artesão|\n|<.>| Aprimorar itens reforjados,Торговец сделает с вашими предметами следующее:|\n|<.>| Превратит перековки и предметы в наборы для умельца|\n|<.>| Улучшит перекованные предметы,商人会对你给他的物品进行以下操作：|\n|<.>| 将重铸和物品转化为修补工具包|\n|<.>| 升级重铸物品,商人會對你給他的物品進行以下操作：|\n|<.>| 將重鑄和物品轉化為修補工具包|\n|<.>| 升級重鑄物品
heal-keyword-description,The action of replenishing a character's current |[health],Action consistant à reconstituer la |[health]| d'un personnage.,Das Auffüllen der aktuellen |[health]| eines Charakters,Esta acción recupera la salud actual de un personaje|[health]|.,キャラクターの現在の|[health]|を補給するアクション,캐릭터의 현재 |[health]|을 보충하는 동작,Działanie przywracające postaci |[health],A ação de restaurar a |[health]| atual do personagem,Действие; восполняющее |[health]| персонажа,刷新角色当前|[health]|的动作,補充角色目前|[health]|的操作
tier-i-reward-keyword-description,<.>| |Get an extra |[diamond]| from opening a chest|\n|<.>| |Start with +{gold} |[gold],<.>| |Obtenez un |[diamond]| supplémentaire en ouvrant un coffre|\n|<.>| |Commencez avec +{gold} |[gold],<.>| |Erhalte einen zusätzlichen |[diamond]| beim Öffnen einer Truhe|\n|<.>| |Beginne mit +{gold} |[gold],<.>| |Consigue un |[diamond]| extra al abrir un cofre|\n|<.>| |Empieza con +{gold} |[gold],<.>| |宝箱を開けると追加で|[diamond]|をゲット|\n|<.>| |+{gold} |[gold]|を持ってスタート,<.>| |상자를 열면 추가 |[diamond]| 획득|\n|<.>| |+{gold} |[gold]|으로 시작,<.>| |Zdobądź dodatkowy |[diamond]| z otwierania skrzyni|\n|<.>| |Zacznij z +{gold} |[gold],<.>| |Receba um |[diamond]| extra ao abrir um baú|\n|<.>| |Comece com +{gold} |[gold],<.>| |Получите дополнительный |[diamond]| при открытии сундука|\n|<.>| |Начните с +{gold} |[gold],<.>| |打开箱子获得额外 |[diamond]||\n|<.>| |开始时拥有 +{gold} |[gold],<.>| |打開箱子獲得額外 |[diamond]||\n|<.>| |開始時擁有 +{gold} |[gold]
critical-strike-battle-action-description,Increase |[physical-damage]| |by 100% + % |[critical-damage],Augmente les |[physical-damage]| |de 100 % + le pourcentage des |[critical-damage],Dein |[physical-damage]| steigt |um 100 % + % |[critical-damage],Aumenta el |[physical-damage]| |en un 100 % + el porcentaje de |[critical-damage]|.,[physical-damage]| |が100% + % |[critical-damage]|増,|[physical-damage]| |100% 증가 + % |[critical-damage],Zwiększa |[physical-damage]| |o 100% oraz wartość procentową statystyki |[critical-damage],Aumenta |[physical-damage]| |em 100% + % |[critical-damage],[physical-damage]| |+100% + % характеристики |[critical-damage],[physical-damage]|提高100%+%|[critical-damage],[physical-damage]|提高100%+%|[critical-damage]
counter-attack-battle-action-description,Attack the attacker,Attaque l'attaquant,Greife den Angreifer an,Ataca al atacante.,攻撃者を攻撃,공격자를 공격합니다,Zaatakowanie napastnika,Ataque o agressor,Бьет атакующего,攻击攻击者,攻擊攻擊者
multi-attack-battle-action-description,Attack all enemies in a single turn,Attaque tous les ennemis en un tour,Greife alle Gegner in einer einzigen Runde an,Ataca a todos los enemigos en el mismo turno.,1ターンですべての敵を攻撃,한 턴에 모든 적을 공격합니다,Atak na wszystkich przeciwników w ciągu jednej tury,Ataque todos os inimigos no mesmo turno,Атакует всех врагов за один ход,在一个回合内攻击所有敌人,在單一回合中攻擊所有敵人
lucky-attack-battle-action-description,Deals 25% extra damage,Inflige 25% de dégâts supplémentaires,Verursacht 25% zusätzlichen Schaden,Inflige un 25% de daño extra,25%の追加ダメージを与える,25%의 추가 피해를 줍니다,Zadaje 25% dodatkowych obrażeń,Causa 25% de dano extra,Наносит 25% дополнительного урона,造成25%额外伤害,造成25%額外傷害
armor-break-battle-action-description,Break target's armor by reducing it to 0,Brise l'armure de la cible en la réduisant à 0.,Brich die Rüstung des Ziels; indem du sie auf 0 verringerst,Destruye la armadura del objetivo; reduciéndola a 0.,対象の鎧を0にまで減少させ破壊,대상의 갑옷을 0으로 감소시켜 파괴합니다,Kruszy pancerz celu poprzez zmniejszenie go do 0,Quebre a armadura do alvo reduzindo-a para 0,Разрушает броню цели и снижает ее до 0,破坏目标的护甲并将其降低至0,將目標的護甲值降至0使其破裂
omni-crit-battle-action-description,Increase |[physical-damage]| |and |[magic-damage]|\n|by 100% + % |[critical-damage],Augmente les |[physical-damage]| |et les |[magic-damage]|\n|de 100 % + le pourcentage des |[critical-damage],Dein |[physical-damage]| |und |[magic-damage]|\n|steigen um 100 % + % |[critical-damage],Aumenta el |[physical-damage]| |y el |[magic-damage]|\n|en un 100 % + el porcentaje de |[critical-damage]|.,|[physical-damage]| |と|[magic-damage]|が\n|100% + % |[critical-damage]増,|[physical-damage]| |및 |[magic-damage]|\n|100% 증가 + % |[critical-damage],Zwiększa |[physical-damage]| |i |[magic-damage]|\n|o 100% oraz wartość procentową statystyki |[critical-damage],Aumente o |[physical-damage]| |e o |[magic-damage]|\n|em 100% + a porcentagem do |[critical-damage],[physical-damage]| |и |[magic-damage]|\n|+100% + % характеристики |[critical-damage],[physical-damage]||与|[magic-damage]|\n|提高100%+%|[critical-damage],[physical-damage]||和|[magic-damage]|\n|提高100%+%|[critical-damage]
polymorph-battle-action-description,Transforms the strongest enemy into a random enemy|\n|and resets their stats,Transforme l'ennemi le plus fort en un ennemi aléatoire|\n|et réinitialise ses statistiques,Verwandelt den stärksten Gegner in einen zufälligen Gegner|\n|und setzt seine Werte zurück,Transforma al enemigo más fuerte en un enemigo aleatorio|\n|y restablece sus estadísticas,最強の敵をランダムな敵に変身させ|\n|ステータスをリセットする,가장 강한 적을 무작위 적으로 변신시키고|\n|능력치를 초기화합니다,Przekształca najsilniejszego wroga w losowego wroga|\n|i resetuje jego statystyki,Transforma o inimigo mais forte em um inimigo aleatório|\n|e redefine seus atributos,Превращает сильнейшего врага в случайного|\n|и сбрасывает его характеристики,将最强的敌人变形为随机敌人|\n|并重置其属性,將最強的敵人變形為隨機敵人|\n|並重置其屬性
immolate-battle-action-description,Deal |[cinder-damage]| that equals to 25% of your |\n|[max-health]| to all enemies in front,Inflige des |[cinder-damage]| équivalant à 25 % de votre |\n|[max-health]| à tous les ennemis du premier rang,Füge allen vorderen Gegnern |[cinder-damage]| in Höhe von 25 % deiner |\n|[max-health]| zu,Inflige |[cinder-damage]| igual a un 25 % de tu |\n|[max-health]| a todos los enemigos al frente.,前方のすべての敵に、|\n|自分の|[max-health]|の25%に等しい|[cinder-damage]| を与える,|[max-health]|의 25%와 같은 |[cinder-damage]|를|\n전방의 모든 적에게 줍니다,Zadaje |[cinder-damage]| o wartości równej 25% statystyki |\n|[max-health]| wszystkim wrogom na przodzie,Cause |[cinder-damage]| igual a 25% da sua |\n|[max-health]| a todos os inimigos à frente,Наносит |[cinder-damage]| в размере 25% характеристики |\n|[max-health]| всем врагам в первом ряду,对你前方的所有敌人|\n|造成等于25%|[max-health]|的|[cinder-damage],對你前方的所有敵人|\n|造成等於25%|[max-health]|的|[cinder-damage]
backstab-battle-action-description,Backstab an enemy dealing attack damage|\n|<.>| |Enemy |[max-health]| is above 75%: The damage is reduced by 45%|\n|<.>| |Enemy |[max-health]| is below or equal to 75%: The attack|\n|  will be a |[critical-strike]| and have +25% |[accuracy],Poignardez un ennemi en infligeant des dégâts d'attaque|\n|<.>| |La |[max-health]| de l'ennemi est supérieure à 75 % : les dégâts sont réduits de 45 %|\n|<.>| |La |[max-health]| de l'ennemi est inférieure ou égale à 75 % : l'attaque|\n| sera un |[critical-strike]| et aura +25 % de |[accuracy],Führe einen Dolchstoß bei einem Gegner aus; der Angriffsschaden verursacht|\n|<.>| |Gegnerische |[max-health]| über 75 %: Der Schaden wird um 45 % reduziert|\n|<.>| |Gegnerische |[max-health]| bei 75 % oder darunter: Der Angriff|\n| wird ein |[critical-strike]| und hat +25 % |[accuracy],Apuñala a un enemigo infligiendo daño de ataque|\n|<.>| |La |[max-health]| del enemigo es superior al 75 %: el daño se reduce en un 45 %|\n|<.>| |La |[max-health]| del enemigo es inferior o igual al 75 %: el ataque|\n| será un |[critical-strike]| y tendrá +25 % de |[accuracy],敵にバックスタブで攻撃ダメージを与える|\n|<.>| |敵の|[max-health]|が75%超：ダメージが45%減少|\n|<.>| |敵の|[max-health]|が75%以下：攻撃は|\n| |[critical-strike]|になり、|[accuracy]|+25%,적을 백스탭하여 공격 피해를 입힙니다|\n|<.>| |적 |[max-health]|가 75% 초과: 피해량 45% 감소|\n|<.>| |적 |[max-health]|가 75% 이하: 공격이|\n| |[critical-strike]|이 되며 |[accuracy]| +25%,Zadaj wrogowi cios w plecy zadający obrażenia od ataku|\n|<.>| | |[max-health]| wroga powyżej 75%: Obrażenia zmniejszone o 45%|\n|<.>| | |[max-health]| wroga poniżej lub równe 75%: Atak|\n| będzie |[critical-strike]| i będzie miał +25% |[accuracy],Apunhale um inimigo causando dano de ataque|\n|<.>| | |[max-health]| do inimigo acima de 75%: O dano é reduzido em 45%|\n|<.>| | |[max-health]| do inimigo abaixo ou igual a 75%: O ataque|\n| será um |[critical-strike]| e terá +25% de |[accuracy],Удар в спину врагу; наносящий урон от атаки|\n|<.>| | |[max-health]| врага выше 75%: Урон снижен на 45%|\n|<.>| | |[max-health]| врага 75% или ниже: Атака|\n| будет |[critical-strike]| и получит +25% |[accuracy],背刺一名敌人造成攻击伤害|\n|<.>| |敌人 |[max-health]| 高于75%：伤害降低45%|\n|<.>| |敌人 |[max-health]| 低于或等于75%：攻击将|\n| 是 |[critical-strike]| 并获得+25% |[accuracy],背刺一名敵人造成攻擊傷害|\n|<.>| |敵人 |[max-health]| 高于75%：傷害降低45%|\n|<.>| |敵人 |[max-health]| 低于或等于75%：攻擊將|\n| 是 |[critical-strike]| 並獲得+25% |[accuracy]
cleanse-battle-action-description,Removes a random debuff and reduces your |[faith]| by 25%|\n|<696969>resets every battle,Supprime un malus aléatoire et réduit votre |[faith]| de 25 %|\n|<696969>se réinitialise à chaque combat,Entfernt einen zufälligen Debuff und verringert deine |[faith]| um 25 %|\n|<696969>wird bei jedem Kampf zurückgesetzt,Elimina un perjuicio aleatorio y reduce tu |[faith]| en un 25 %|\n|<696969>se reinicia en cada combate,ランダムなデバフを1つ解除し、|[faith]|を25%減少させる|\n|<696969>バトル毎にリセット,무작위 디버프를 제거하고 |[faith]|를 25% 감소시킵니다|\n|<696969>배틀마다 초기화됩니다,Usuwa losowe osłabienie i zmniejsza twoją |[faith]| o 25%|\n|<696969>resetuje się co bitwę,Remove um debuff aleatório e reduz sua |[faith]| em 25%|\n|<696969>reinicia a cada batalha,Снимает случайный отрицательный эффект и снижает вашу |[faith]| на 25%|\n|<696969>сбрасывается каждый бой,移除一个随机减益并将你的 |[faith]| 降低25%|\n|<696969>每场战斗重置,移除一個隨機減益並將你的 |[faith]| 降低25%|\n|<696969>每場戰鬥重置
dodge-battle-action-description,Avoid incoming damage|\n|\n|Every time you |[dodge]|:|\n|reduce |[agility]| by 25%|\n|\n|<696969>resets every battle,Vous évitez les dégâts|\n|\n|Chaque fois que vous réussissez à |[dodge]| :|\n|réduit l'|[agility]| de 25 %|\n|\n|<696969>réinitialisé à chaque combat,Vermeide erlittenen Schaden|\n|\n|Bei jedem |[dodge]|:|\n|[agility]| wird um 25 % verringert|\n|\n|<696969>wird bei jedem Kampf zurückgesetzt,Evita el daño que se vaya a sufrir.|\n|\n|Cada vez que haces una |[dodge]|:|\n|reduce la |[agility]| en un 25 %.|\n|\n|<696969>Se reinicia en cada combate.,受けるダメージを回避|\n|\n|[dodge]|する毎に：|\n|[agility]|が25%減少|\n|\n|<696969>バトル毎にリセット,받는 피해를 회피합니다|\n|\n||[dodge]|할 때마다:|\n||[agility]| 25% 감소|\n|\n|<696969>배틀마다 초기화됩니다,Unikasz otrzymywanych obrażeń|\n|\n|Każdy |[dodge]|:|\n|zmniejsza statystykę |[agility]| o 25%|\n|\n|<696969>resetuje się co bitwę,Anule o próximo dano|\n|\n|A cada |[dodge]| sua:|\n|reduz a |[agility]| em 25%|\n|\n|<696969>reinicia a cada batalha,Позволяет избежать получаемый урон|\n|\n|Каждое ваше |[dodge]|\n|снижает |[agility]| на 25%|\n|\n|<696969>(сброс каждый бой),避免传入伤害|\n|\n|每次|[dodge]|时：|\n|[agility]|降低25%|\n|\n|<696969>每场战斗重置,避免傳入傷害|\n|\n|每次|[dodge]|時：|\n|[agility]|降低25%|\n|\n|<696969>每場戰鬥重設
parry-battle-action-description,Return the damage and status effects to the attacker|\n|<696969>Getting parried 10 times will end your turn,Renvoie les dégâts et les effets à l'attaquant|\n|<696969>Votre tour prend fin si vous êtes paré 10 fois,Wirf den Schaden und die Statuseffekte auf den Angreifer zurück|\n|<696969>Wenn du 10-mal pariert wirst; endet deine Runde,Devuelve el daño y los efectos de estado al atacante.|\n|<696969>Si te paran 10 veces; acabará tu turno.,攻撃者にダメージとステータス効果を返す|\n|<696969>10回かわされると自分のターンが終了する,공격자에게 피해와 상태 효과를 돌려줍니다|\n|<696969>공격이 10번 모면되면 턴이 끝납니다,Odbija obrażenia i efekty stanu do napastnika|\n|<696969>Sparowanie 10 ciosów kończy twoją turę,Reflita o dano e os efeitos de estado no agressor|\n|<696969>Ter 10 golpes aparados encerrará seu turno,Отражает урон и эффекты состояния в атакующего|\n|<696969>Если ваши атаки парируют 10 раз; ход заканчивается,将伤害与状态效果返还给攻击者|\n|<696969>被招架10次会结束你的回合,將傷害和狀態效果返還給攻擊者|\n|<696969>被招架10次會結束你的回合
block-battle-action-description,Reduce incoming damage by 100%,Réduit les dégâts subis de 100 %.,Verringere erlittenen Schaden um 100 %,Reduce el daño de un ataque en un 100 %.,受けるダメージを100%減,받는 피해를 100% 감소시킵니다,Zmniejsza otrzymywane obrażenia o 100%,Reduza o próximo dano em 100%,Снижает получаемый урон на 100%,降低100%传入伤害,傳入傷害降低100%
guard-battle-action-description,Reduce received damage by 25%,Réduit les dégâts subis de 25 %,Verringere erlittenen Schaden um 25 %,Reduce el daño recibido en un 25 %.,受けるダメージを25%減,25% 감소한 피해를 입음,Zmniejsz otrzymywane obrażenia o 25%,Reduza o dano sofrido em 25%,Снижает получаемый урон на 25%,受到的伤害降低25%,受到的傷害降低25%
